Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,First Ballot,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Cliff Anderson,1967,1971,4,1,SG,LAL,84,3.0,253,1.3,107,0.9,72,0.0,0,0.0,0,35.4,0.0,58.5,35.4,10.6,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Anderson,1974,1976,2,1,SG,POR,95,3.7,347,1.0,91,1.7,166,0.4,36,0.0,3,47.2,0.0,84.6,0.0,12.3,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Anderson,1997,2008,11,1,SG,POR,615,12.0,7357,3.2,1988,3.4,2083,1.1,691,0.1,87,40.8,34.1,85.3,46.3,15.3,4.0,43.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dwight Anderson,1982,1983,1,1,PG,DEN,5,4.2,21,0.4,2,0.6,3,0.2,1,0.0,0,50.0,0.0,70.0,50.0,10.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Anderson,1992,1994,2,1,PF,NYK,27,1.6,42,1.1,31,0.2,5,0.1,3,0.1,2,34.3,100.0,59.3,37.1,13.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Anderson,1987,1998,10,1,PF,SAS,680,7.3,4953,6.2,4246,0.6,385,0.7,480,0.9,590,49.2,8.7,55.7,49.2,13.0,1.9,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
J.J. Anderson,1982,1985,3,1,SF,UTA,157,4.8,751,2.8,439,0.7,110,0.7,107,0.2,39,46.5,0.0,55.8,46.5,12.1,0.9,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Anderson,2010,2016,5,1,SG,SAS,247,5.8,1422,2.3,560,1.2,291,0.5,121,0.2,55,41.1,32.1,75.5,48.8,9.9,0.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Anderson,1975,1977,2,1,SG,BOS,49,2.6,127,0.5,25,0.3,16,0.2,9,0.1,5,49.0,0.0,69.4,0.0,11.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kenny Anderson,1991,2005,14,1,PG,BRK,858,12.6,10789,3.1,2641,6.1,5196,1.5,1258,0.1,111,42.1,34.6,79.0,44.9,16.4,4.5,62.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
