Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team,HOF Probability,HOF Lock
Blake Ahearn,2007,2012,3,1,PG,MIA,19,4.6,88,1.2,22,1.2,22,0.4,7,0.0,0,27.3,29.8,97.0,36.4,7.2,-0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010589243164568231,0
Danny Ainge,1981,1995,14,1,SG,BOS,1042,11.5,11964,2.7,2768,4.0,4199,1.1,1133,0.1,132,46.9,37.8,84.6,51.9,14.7,5.1,71.5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.02345260720195433,0
Alexis Ajinça,2008,2017,7,1,C,NOP,293,5.3,1553,3.9,1150,0.5,143,0.3,102,0.6,181,50.3,28.6,79.7,50.7,14.9,1.1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024535068452818565,0
Henry Akin,1966,1969,3,1,PF,NYK,88,3.5,308,2.1,181,0.5,40,0.0,0,0.0,0,35.0,0.0,67.6,35.0,7.4,-0.4,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008394059475954259,0
Josh Akognon,2012,2013,1,1,PG,DAL,3,1.7,5,0.3,1,0.3,1,0.0,0,0.0,0,50.0,50.0,0.0,62.5,15.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011886852578654548,0
DeVaughn Akoon-Purcell,2018,2019,1,0,SG,DEN,7,1.0,7,0.6,4,0.9,6,0.3,2,0.0,0,30.0,0.0,50.0,30.0,8.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011974811560885473,0
Solomon Alabi,2010,2012,2,1,C,TOR,26,1.5,39,2.3,61,0.2,5,0.2,4,0.4,11,31.4,0.0,70.0,31.4,10.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011905197115894062,0
Mark Alarie,1986,1991,5,1,PF,WAS,325,7.5,2432,3.4,1120,1.1,363,0.4,132,0.3,109,47.5,25.2,77.5,48.3,13.0,1.7,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004002483910724398,0
Gary Alcorn,1959,1961,2,1,C,DET,78,3.3,261,4.2,329,0.3,24,0.0,0,0.0,0,29.3,0.0,59.8,0.0,6.5,-0.7,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006426574982456306,0
Santi Aldama,2021,2022,1,0,PF,MEM,31,3.6,112,2.5,77,0.5,17,0.1,4,0.3,10,39.7,9.3,61.5,41.4,9.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015129506843181422,0
Furkan Aldemir,2014,2015,1,1,PF,PHI,41,2.3,93,4.3,176,0.7,28,0.4,17,0.4,16,51.3,0.0,48.1,51.3,12.0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004004008908111067,0
Cole Aldrich,2010,2018,8,1,C,OKC,339,3.1,1050,3.3,1131,0.5,183,0.4,137,0.7,233,52.7,0.0,73.8,52.7,16.6,1.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025905222455776143,0
LaMarcus Aldridge,2006,2022,16,0,PF,POR,1076,19.1,20558,8.1,8736,1.9,2076,0.7,758,1.1,1187,49.3,32.0,81.3,49.9,20.7,7.2,115.7,0,0,0,0,0,7,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0.9430906931702009,1
Chuck Aleksinas,1984,1985,1,1,C,GSW,74,5.1,377,3.6,270,0.5,36,0.2,15,0.2,15,47.8,0.0,73.3,47.8,9.1,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016214438166268906,0
Cliff Alexander,2015,2016,1,1,PF,POR,8,1.3,10,0.8,6,0.0,0,0.1,1,0.3,2,50.0,0.0,0.0,50.0,11.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001193659535284898,0
Cory Alexander,1995,2005,7,1,PG,SAS,307,5.5,1677,1.6,481,2.7,834,0.9,263,0.1,37,38.9,35.4,75.6,46.8,12.4,0.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014898829728218648,0
Courtney Alexander,2000,2003,3,1,PG,WAS,187,9.0,1690,2.2,409,1.2,227,0.6,111,0.1,18,42.2,33.9,81.3,43.5,11.5,1.4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0034299089479317754,0
Gary Alexander,1993,1994,1,1,PF,MIA,11,1.7,19,1.4,15,0.2,2,0.3,3,0.0,0,57.1,0.0,33.3,57.1,8.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011885064940480882,0
Joe Alexander,2008,2010,2,1,SF,MIL,67,4.2,282,1.8,120,0.7,44,0.2,16,0.4,30,41.0,34.0,69.8,44.2,9.9,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001364577334127682,0
Kyle Alexander,2019,2020,1,0,C,MIA,2,1.0,2,1.5,3,0.0,0,0.0,0,0.0,0,50.0,0.0,0.0,50.0,4.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011975072483115373,0
Ty-Shon Alexander,2020,2021,1,0,SG,PHO,15,0.6,9,0.7,10,0.4,6,0.0,0,0.1,1,25.0,22.2,50.0,33.3,4.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012024925623810429,0
Victor Alexander,1991,2002,5,1,C,GSW,286,8.9,2542,4.8,1384,0.9,257,0.5,135,0.6,177,51.8,28.6,63.4,52.2,13.7,1.8,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004255718017324519,0
Nickeil Alexander-Walker,2019,2022,3,0,SG,NOP,157,9.3,1464,2.6,415,2.2,345,0.7,110,0.3,53,38.7,32.9,72.6,46.8,10.9,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012819928264142652,0
Steve Alford,1987,1991,4,1,PG,DAL,169,4.4,744,0.9,144,1.0,176,0.5,85,0.1,10,45.9,32.4,87.0,48.7,14.4,0.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002161507060794458,0
Rawle Alkins,2018,2019,1,0,SG,CHI,10,3.7,37,2.6,26,1.3,13,0.1,1,0.0,0,33.3,25.0,66.7,37.2,8.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010660816230858767,0
Bob Allen,1968,1969,1,1,PF,GSW,27,1.8,48,2.1,56,0.4,10,0.0,0,0.0,0,32.6,0.0,55.6,0.0,6.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012951714717722405,0
