Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Calvin Murphy,1970,1983,13,1,PG,HOU,1002,17.9,17949,2.1,2103,4.4,4402,1.5,1165,0.1,51,48.2,13.9,89.2,48.3,18.0,6.5,84.1,1,1993,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dikembe Mutombo,1991,2009,18,1,C,DEN,1196,9.8,11729,10.3,12359,1.0,1240,0.4,494,2.8,3289,51.8,0.0,68.4,51.8,17.2,6.5,117.0,1,2015,8,0,2,0,0,3,0,3,1,0,6,0,0,0,4,0,0,0
Steve Nash,1996,2014,18,1,PG,PHO,1217,14.3,17387,3.0,3642,8.5,10335,0.7,899,0.1,102,49.0,42.8,90.4,55.6,20.0,7.2,129.7,1,2018,8,0,0,5,0,0,0,7,0,0,0,0,0,0,0,2,0,1
Shaquille O'Neal,1992,2011,19,1,C,LAL,1207,23.7,28596,10.9,13099,2.5,3026,0.6,739,2.3,2732,58.2,4.5,52.7,58.2,26.4,9.6,181.7,1,2016,15,2,0,0,0,0,4,14,1,1,3,0,0,3,0,1,3,1
Hakeem Olajuwon,1984,2002,18,1,C,HOU,1238,21.8,26946,11.1,13748,2.5,3058,1.7,2162,3.1,3830,51.2,20.2,71.2,51.3,23.6,9.0,162.8,1,2008,12,0,2,0,0,3,2,12,1,0,9,0,0,0,2,1,2,1
Robert Parish,1976,1997,21,1,C,BOS,1611,14.5,23334,9.1,14715,1.4,2180,0.8,1219,1.5,2361,53.7,0.0,72.1,53.7,19.2,7.0,147.0,1,2003,9,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
Gary Payton,1990,2007,17,1,PG,OKC,1335,16.3,21813,3.9,5269,6.7,8966,1.8,2445,0.2,285,46.6,31.7,72.9,49.6,18.9,8.6,145.5,1,2013,9,0,0,0,1,0,1,9,1,0,9,0,0,0,1,0,0,1
Bob Pettit,1954,1965,11,1,PF,STL,792,26.4,20880,16.2,12849,3.0,2369,0.0,0,0.0,0,43.6,0.0,76.1,0.0,25.4,12.4,136.0,1,1971,11,2,1,0,0,0,1,11,0,1,0,0,0,4,0,2,0,1
Andy Phillip,1947,1958,11,1,PG,DET,701,9.1,6384,4.4,2395,5.4,3759,0.0,0,0.0,0,36.8,0.0,69.5,0.0,14.1,5.5,60.5,1,1961,5,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Paul Pierce,1998,2017,19,1,SF,BOS,1343,19.7,26397,5.6,7527,3.5,4708,1.3,1752,0.6,745,44.5,36.8,80.6,50.0,19.7,7.9,150.0,1,2021,10,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,1
Scottie Pippen,1987,2004,17,1,SF,CHI,1178,16.1,18940,6.4,7494,5.2,6135,2.0,2307,0.8,947,47.3,32.6,70.4,50.4,18.6,7.4,125.1,1,2010,7,0,0,0,1,0,6,7,0,0,10,0,0,1,0,0,0,1
Jim Pollard,1948,1955,7,1,SF,LAL,438,13.2,5762,7.8,2487,3.2,1417,0.0,0,0.0,0,36.0,0.0,75.0,0.0,15.6,5.0,34.9,1,1978,4,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
Frank Ramsey,1954,1964,9,1,SG,BOS,623,13.4,8378,5.5,3410,1.8,1134,0.0,0,0.0,0,39.9,0.0,80.4,0.0,15.6,5.5,49.2,1,1982,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Willis Reed,1964,1974,10,1,C,NYK,650,18.7,12183,12.9,8414,1.8,1186,0.6,12,1.1,21,47.6,0.0,74.7,0.0,18.6,7.5,74.9,1,1982,7,0,0,0,0,0,2,5,1,1,1,0,0,1,0,1,2,1
Mitch Richmond,1988,2002,14,1,SG,SAC,976,21.0,20497,3.9,3801,3.5,3398,1.2,1211,0.3,254,45.5,38.8,85.0,49.7,17.6,5.7,79.3,1,2014,6,0,0,0,0,0,1,5,1,1,0,0,0,1,0,0,0,0
Arnie Risen,1948,1958,10,1,C,ROC,637,12.0,7633,9.7,5011,1.7,1058,0.0,0,0.0,0,38.1,0.0,69.9,0.0,16.7,5.6,56.0,1,1998,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Oscar Robertson,1960,1974,14,1,PG,SAC,1040,25.7,26710,7.5,7804,9.5,9887,1.1,77,0.1,4,48.5,0.0,83.8,0.0,23.2,13.5,189.2,1,1980,12,0,0,6,0,0,1,11,0,1,0,0,0,3,0,1,0,1
