Player,Debut,Last Active,YOE,Position,Team,HOF Probability,First Ballot,Inducted as Player
Steve Nash,1996,2014,18,PG,PHO,0.997868474687551,1,1
Swen Nater,1973,1984,11,C,SDC,0.06939026435842141,0,0
Howard Nathan,1995,1996,1,PG,ATL,0.001080597709962211,0,0
Calvin Natt,1979,1990,11,SF,POR,0.03589626754080133,0,0
Kenny Natt,1980,1985,3,SG,UTA,0.0010772675061002874,0,0
Willie Naulls,1956,1966,10,SF,NYK,0.08331112598572189,0,0
Juan Carlos Navarro,2007,2008,1,SG,MEM,0.0036522822996013513,0,0
Maurice Ndour,2016,2017,1,PF,NYK,0.0016623833313037632,0,0
Craig Neal,1988,1991,2,PG,POR,0.0009961911475965962,0,0
Gary Neal,2010,2017,7,SG,SAS,0.0030533087036667705,0,0
Jim Neal,1953,1955,2,C,PHI,0.0012584923898435265,0,0
Lloyd Neal,1972,1979,7,PF,POR,0.009596629762389982,0,0
Ed Nealy,1982,1993,10,PF,KCK,0.0028853514491912462,0,0
Nemanja Nedović,2013,2014,1,SG,GSW,0.0008444910651612801,0,0
Barry Nelson,1971,1972,1,C,MIL,0.0013043301686986562,0,0
DeMarcus Nelson,2008,2009,1,PG,GSW,0.0008928522417590345,0,0
Don Nelson,1962,1976,14,SF,BOS,0.013887850591065712,0,0
Jameer Nelson,2004,2018,14,PG,ORL,0.01010207962258299,0,0
Louie Nelson,1973,1978,5,SG,UTA,0.002918195172996541,0,0
RJ Nembhard Jr.,2021,2022,1,SG,CLE,0.001305923861934055,0,0
Ruben Nembhard,1996,1997,1,"PG,SG",UTA,0.0013836648118525881,0,0
Tyrone Nesby,1998,2002,4,SF,LAC,0.0048126422225415804,0,0
Aaron Nesmith,2020,2022,2,SF,BOS,0.002278702546999276,0,0
Martin Nessley,1987,1988,1,C,LAC,0.0010969475983270982,0,0
Rasho Nesterović,1998,2010,12,C,MIN,0.006651115527037692,0,0
Raul Neto,2015,2022,7,PG,UTA,0.0029796037502075267,0,0
Paul Neumann,1961,1967,6,PG,PHI,0.03145809945064124,0,0
Chuck Nevitt,1982,1994,9,C,HOU,0.0012822479882967726,0,0
Melvin Newbern,1992,1993,1,SG,DET,0.0011662189971748463,0,0
Ivano Newbill,1994,1998,3,PF,DET,0.0016524579785934025,0,0
Ira Newble,2000,2008,8,SF,CLE,0.0025555138215316254,0,0
Mike Newlin,1971,1982,11,SG,HOU,0.014381444507305281,0,0
Johnny Newman,1986,2002,16,SF,CHO,0.003912063456547306,0,0
Malik Newman,2019,2022,2,SG,CLE,0.0011498686009827098,0,0
Dave Newmark,1968,1971,3,C,CHI,0.0018414152789095598,0,0
Georges Niang,2016,2022,6,PF,UTA,0.002876630789695885,0,0
Demetris Nichols,2007,2009,2,SF,CHI,0.0010997049823668226,0,0
Jack Nichols,1948,1958,9,PF,BOS,0.005487002203269565,0,0
Andrew Nicholson,2012,2017,5,PF,ORL,0.00207404843652491,0,0
Gaylon Nickerson,1996,1997,1,SG,SAS,0.0012707178404664477,0,0
Carl Nicks,1980,1983,3,PG,UTA,0.0010372658229316064,0,0
Rich Niemann,1968,1972,4,C,DET,0.00458449347887102,0,0
Richie Niemiera,1948,1950,2,,DET,0.027506364323115328,0,0
Mike Niles,1980,1981,1,SF,PHO,0.0009066417580362286,0,0
Kurt Nimphius,1981,1990,8,C,DAL,0.004821907100220518,0,0
Daishen Nix,2021,2022,1,SG,HOU,0.0009835145273062766,0,0
Dyron Nix,1989,1990,1,SF,IND,0.0011863841701399672,0,0
Norm Nixon,1977,1989,10,PG,LAL,0.06147670872585596,0,0
Zeke Nnaji,2020,2022,2,PF,DEN,0.0037519556291196257,0,0
Joakim Noah,2007,2020,13,C,CHI,0.06829331549819655,0,0
Chuck Noble,1955,1962,7,SG,DET,0.0019088464556729244,0,0
Andrés Nocioni,2004,2012,8,SF,CHI,0.006373606875149401,0,0
David Noel,2006,2007,1,PF,MIL,0.0016681855004899379,0,0
Nerlens Noel,2014,2022,8,C,PHI,0.011256814775580796,0,0
Paul Noel,1947,1952,5,,NYK,0.0011609060221598189,0,0
Lucas Nogueira,2014,2018,4,C,TOR,0.003794537327805317,0,0
Jim Nolan,1949,1950,1,,GSW,0.0010006681637171782,0,0
Paul Nolen,1953,1954,1,,BLB,0.0012119769623616325,0,0
Jeff Nordgaard,1997,1998,1,PF,MIL,0.0011940798341468267,0,0
Bevo Nordmann,1961,1965,4,C,ATL,0.0017069306111982664,0,0
Connie Norman,1974,1979,3,SG,PHI,0.0015724070451952753,0,0
Ken Norman,1987,1997,10,SF,LAC,0.00518524830982313,0,0
Audie Norris,1982,1985,3,C,POR,0.0026047531108897726,0,0
Moochie Norris,1996,2006,9,PG,HOU,0.002290827903798163,0,0
Sylvester Norris,1979,1980,1,C,SAS,0.0009918510458250816,0,0
Zach Norvell,2019,2020,1,SG,LAL,0.0010873947821381173,0,0
Willie Norwood,1971,1978,7,SF,DET,0.006274388299197251,0,0
Mike Novak,1948,1954,3,PF,SAC,0.0020612576360764753,0,0
Steve Novak,2006,2017,11,SF,HOU,0.0024257677288563096,0,0
Jaylen Nowell,2019,2022,3,SG,MIN,0.002950486753527694,0,0
Mel Nowell,1962,1968,2,SG,CHZ,0.0033081319214417326,0,0
Dirk Nowitzki,1998,2019,21,PF,DAL,0.9999948765295508,1,0
Frank Ntilikina,2017,2022,5,PG,NYK,0.0012244946319552071,0,0
Kendrick Nunn,2019,2021,2,PG,MIA,0.00846734765510445,0,0
James Nunnally,2013,2021,3,SF,ATL,0.0011786662256794303,0,0
Jusuf Nurkić,2014,2022,8,C,POR,0.007115558122352191,0,0
Dennis Nutt,1986,1987,1,PG,DAL,0.0015371015279636688,0,0
David Nwaba,2016,2022,6,SF,HOU,0.002857160879252114,0,0
Jordan Nwora,2020,2022,2,SF,MIL,0.001710794268867988,0,0
Julius Nwosu,1994,1995,1,C,SAS,0.0011951956122286185,0,0
Charles O'Bannon,1997,1999,2,SG,DET,0.0015196585239815117,0,0
Ed O'Bannon,1995,1997,2,SF,BRK,0.001905845450753346,0,0
John O'Boyle,1952,1953,1,SG,MLH,0.001159462291660743,0,0
J.J. O'Brien,2015,2016,1,SF,UTA,0.0012119769623616325,0,0
Ralph O'Brien,1951,1953,2,SG,INO,0.00433422183540795,0,0
