Player,Debut,Last Active,YOE,Position,Team,HOF Probability,First Ballot,Inducted as Player
Rudy Tomjanovich,1970,1981,11,PF,HOU,0.4676661084601057,0,0
Jack Twyman,1955,1966,11,SF,SAC,0.8370348744289097,0,1
Wes Unseld,1968,1981,13,C,WAS,0.960590332022932,0,1
Chet Walker,1962,1975,13,SF,PHI,0.888106934743559,0,1
Ben Wallace,1996,2012,16,C,DET,0.6195479022458055,0,1
Bill Walton,1974,1987,10,C,POR,0.43623804874584654,1,1
Bobby Wanzer,1948,1957,9,SG,SAC,0.9003816691824249,0,1
Chris Webber,1993,2008,15,PF,SAC,0.7334579542691109,0,1
Jerry West,1960,1974,14,PG,LAL,0.999999715405987,1,1
Paul Westphal,1972,1984,12,SG,PHO,0.7603301094756802,0,1
Jo Jo White,1969,1981,12,PG,BOS,0.6960260966250482,0,1
Lenny Wilkens,1960,1975,15,PG,ATL,0.9764738388026845,0,1
Jamaal Wilkes,1974,1986,12,SF,LAL,0.1360354729936717,0,1
Dominique Wilkins,1982,1999,15,SF,ATL,0.9994469444300556,0,1
James Worthy,1982,1994,12,SF,LAL,0.9850531757274362,0,1
George Yardley,1953,1960,7,SF,DET,0.9730942377126939,0,1
