Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Pascal Siakam,2016,2022,6,0,PF,TOR,400,15.7,6290,6.3,2522,3.1,1241,0.9,371,0.7,271,48.9,32.8,77.4,52.9,17.6,5.5,33.3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Jordan Sibert,2018,2019,1,0,SG,ATL,1,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,100.0,100.0,0.0,150.0,29.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Silva,2019,2022,3,0,PF,MIA,69,2.8,191,2.7,189,0.5,36,0.1,10,0.4,28,60.6,25.0,70.7,61.0,15.3,0.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Simmons,2017,2021,4,0,PG,PHI,275,15.9,4382,8.1,2217,7.7,2127,1.7,464,0.7,199,56.0,14.7,59.7,56.0,19.8,7.6,30.4,0,0,0,0,0,3,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0
Jonathon Simmons,2015,2019,4,0,SG,SAS,258,8.3,2142,2.4,621,1.9,483,0.6,158,0.2,61,44.3,31.7,75.6,48.4,11.0,1.6,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobi Simmons,2017,2019,2,0,PG,MEM,33,5.9,196,1.5,50,2.1,68,0.5,18,0.2,5,42.3,28.2,100.0,45.2,7.7,-0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko Simonovic,2021,2022,1,0,C,CHI,9,1.9,17,1.1,10,0.0,0,0.1,1,0.1,1,26.7,20.0,72.7,30.0,10.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Simons,2018,2022,4,0,SG,POR,211,10.2,2144,2.2,456,2.0,420,0.4,75,0.1,24,42.5,39.2,83.3,53.1,12.3,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zavier Simpson,2021,2022,1,0,PG,OKC,3,9.0,27,4.0,12,7.7,23,1.3,4,1.0,3,32.4,0.0,100.0,32.4,5.3,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jericho Sims,2021,2022,1,0,PF,NYK,40,2.1,84,3.9,155,0.5,20,0.2,9,0.6,22,72.0,0.0,41.4,72.0,11.8,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
