Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Chucky Atkins,1999,2010,11,1,PG,DET,696,9.9,6863,1.7,1186,3.4,2396,0.7,465,0.1,36,41.2,36.4,77.2,48.9,13.1,2.5,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Al Attles,1960,1971,11,1,PG,GSW,711,8.9,6328,3.5,2463,3.5,2483,0.0,0,0.0,0,45.1,0.0,63.2,0.0,11.3,3.3,36.5,1,0,0,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stacey Augmon,1991,2006,15,1,SG,ATL,1001,8.0,7990,3.2,3216,1.6,1561,1.0,974,0.3,317,46.9,15.2,72.8,47.0,13.7,2.9,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D.J. Augustin,2008,2022,14,0,PG,CHO,975,9.5,9257,1.9,1804,3.9,3759,0.6,567,0.0,32,41.2,38.2,86.7,49.9,14.0,3.4,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
James Augustine,2006,2008,2,1,PF,ORL,27,1.6,42,1.2,33,0.1,4,0.2,5,0.1,2,51.4,0.0,50.0,51.4,11.1,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Austin,1991,2002,9,1,C,UTA,432,7.6,3285,4.7,2030,1.2,538,0.5,214,0.5,226,44.6,17.6,67.0,44.8,13.0,1.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Johnny Austin,1966,1968,2,1,SG,WAS,45,7.6,340,1.6,71,1.4,62,0.0,0,0.0,0,37.5,0.0,73.1,37.5,9.3,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Austin,1983,1984,1,1,SF,DET,7,1.7,12,0.4,3,0.1,1,0.1,1,0.1,1,46.2,0.0,0.0,46.2,5.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deni Avdija,2020,2022,2,0,SF,WAS,135,7.5,1015,5.1,682,1.7,226,0.7,90,0.4,59,42.7,31.8,72.8,50.3,10.0,1.8,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Avent,1992,2000,6,1,PF,MIL,352,5.6,1958,4.5,1584,0.8,278,0.5,166,0.6,211,40.3,0.0,68.6,40.3,8.8,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Avery,1999,2002,3,1,PG,MIN,142,2.7,379,0.7,93,1.4,199,0.2,34,0.0,6,33.0,25.5,71.4,37.8,7.3,-0.3,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Awtrey,1970,1982,12,1,C,PHO,733,4.8,3516,4.6,3342,2.0,1467,0.4,186,0.3,182,45.9,0.0,65.2,45.9,10.5,1.9,22.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Joel Ayayi,2021,2022,1,0,SG,WAS,7,0.3,2,0.4,3,0.6,4,0.0,0,0.0,0,16.7,0.0,0.0,16.7,3.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Ayón,2011,2014,3,1,C,NOP,135,4.7,635,4.4,589,1.3,173,0.7,100,0.5,73,53.6,0.0,50.4,53.6,14.7,1.7,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Ayres,2009,2016,6,1,C,IND,237,2.9,690,2.7,632,0.4,99,0.2,37,0.3,66,55.3,40.0,77.6,55.5,12.4,1.1,6.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deandre Ayton,2018,2022,4,0,C,PHO,236,16.3,3843,10.5,2485,1.6,380,0.7,168,1.0,246,59.9,25.0,75.4,60.2,20.7,6.2,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kelenna Azubuike,2006,2012,5,1,SG,GSW,208,10.5,2178,4.0,829,1.1,230,0.6,130,0.5,103,45.9,40.9,77.0,51.9,14.3,1.9,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udoka Azubuike,2020,2022,2,0,C,UTA,32,3.0,96,2.6,84,0.0,0,0.1,2,0.5,15,70.7,0.0,66.7,70.7,15.9,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Babb,2013,2014,1,1,SG,BOS,14,1.6,22,1.2,17,0.2,3,0.4,6,0.0,0,26.7,22.2,0.0,36.7,3.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Babbitt,2010,2018,8,1,SF,POR,381,4.8,1818,2.2,846,0.6,224,0.2,89,0.2,58,40.8,40.2,74.7,53.2,10.1,0.9,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miloš Babić,1990,1992,2,1,PF,CLE,21,1.8,37,1.0,20,0.5,10,0.1,2,0.0,1,37.5,0.0,65.0,37.5,10.9,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bacon,2017,2021,4,0,SG,CHO,207,7.3,1503,2.6,537,1.1,230,0.5,96,0.1,14,40.2,31.4,78.0,44.7,8.9,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Baechtold,1952,1957,5,1,SF,NYK,321,9.7,3123,3.1,1009,2.1,685,0.0,0,0.0,0,38.8,0.0,78.3,0.0,13.2,3.0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalibor Bagarić,2000,2003,3,1,C,CHI,95,2.6,251,2.5,238,0.4,37,0.3,29,0.5,43,36.1,0.0,55.9,36.1,7.0,-0.3,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Bagley,1982,1994,11,1,PG,CLE,665,8.7,5802,2.6,1729,6.0,3980,1.1,755,0.1,54,43.7,24.1,77.9,44.8,13.0,1.5,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Bagley III,2018,2022,4,0,PF,SAC,166,13.6,2256,7.4,1224,0.9,151,0.5,82,0.7,110,50.1,29.1,66.3,52.7,17.1,1.8,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carl Bailey,1981,1982,1,1,C,POR,1,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,100.0,0.0,0.0,100.0,-6.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gus Bailey,1974,1980,5,1,SG,HOU,147,2.6,389,1.7,244,1.1,168,0.4,56,0.3,43,40.6,100.0,51.0,40.8,11.3,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Bailey,1979,1988,9,1,PF,OKC,595,8.8,5246,5.0,2988,0.8,488,0.5,305,0.9,521,48.4,7.7,70.3,48.4,13.0,1.8,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thurl Bailey,1983,1999,12,1,PF,UTA,928,12.8,11834,5.1,4718,1.4,1298,0.5,435,1.2,1086,47.3,11.4,81.2,47.3,14.3,3.8,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toby Bailey,1998,2000,2,1,SG,PHO,73,3.3,241,1.7,126,0.6,43,0.3,22,0.1,6,40.7,20.0,69.2,41.4,11.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Bairstow,2014,2016,2,1,PF,CHI,36,1.2,44,1.0,36,0.2,7,0.1,4,0.1,4,29.6,20.0,84.6,30.6,5.0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Baker,1998,1999,1,1,PG,TOR,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,-46.6,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Baker,2004,2005,1,1,PG,LAC,5,0.0,0,0.4,2,0.2,1,0.2,1,0.0,0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Baker,2016,2019,3,1,SG,NYK,96,3.1,300,1.4,139,1.8,169,0.7,66,0.2,15,35.8,26.5,70.7,41.7,7.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vin Baker,1993,2006,13,1,PF,OKC,791,15.0,11839,7.4,5867,1.9,1509,0.7,582,1.0,798,48.5,21.5,63.8,48.7,16.3,3.6,47.0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Wade Baldwin,2016,2019,3,0,PG,POR,56,3.1,174,1.2,69,1.4,78,0.4,21,0.2,10,35.5,25.0,77.6,38.2,7.1,-0.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renaldo Balkman,2006,2012,6,1,SF,NYK,221,4.0,894,3.5,769,0.6,132,0.7,164,0.5,104,51.0,17.2,54.2,51.8,14.3,1.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedric Ball,1990,1991,1,1,PF,LAC,7,1.1,8,1.6,11,0.0,0,0.0,0,0.3,2,37.5,0.0,100.0,37.5,10.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMelo Ball,2020,2022,2,0,PG,CHO,125,18.3,2287,6.3,793,7.0,875,1.6,199,0.4,48,43.1,37.4,82.5,51.1,18.9,4.3,8.6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Lonzo Ball,2017,2022,5,0,PG,LAL,252,11.9,2995,5.7,1447,6.2,1563,1.6,391,0.6,162,40.0,36.4,57.8,50.7,13.4,2.3,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Greg Ballard,1977,1989,11,1,SF,WAS,802,12.4,9953,6.1,4858,2.2,1733,1.1,877,0.3,256,47.2,33.8,78.7,47.7,15.7,4.9,54.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mo Bamba,2018,2022,4,0,C,ORL,225,7.7,1726,6.1,1362,0.9,200,0.4,88,1.4,324,47.4,34.9,68.6,54.2,16.8,2.5,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desmond Bane,2020,2022,2,0,SG,MEM,144,14.0,2009,3.8,544,2.3,326,0.9,133,0.3,45,46.4,43.5,88.2,57.2,15.4,5.2,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gene Banks,1981,1987,6,1,SF,SAS,468,11.3,5305,5.8,2718,2.9,1335,0.9,436,0.2,101,53.9,4.3,73.0,53.9,15.1,5.2,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Banks,2003,2011,8,1,PG,BOS,348,5.9,2061,1.5,519,2.1,728,0.8,266,0.2,57,43.2,32.7,76.8,46.9,12.2,0.8,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Bannister,1984,1991,5,1,PF,LAC,253,5.9,1501,3.5,893,0.4,111,0.4,109,0.3,80,48.8,0.0,49.2,48.8,8.9,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Bantom,1973,1982,9,1,SF,IND,706,12.1,8568,6.4,4517,2.3,1623,0.9,630,0.7,478,46.8,20.0,69.2,46.8,14.3,3.9,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dalano Banton,2021,2022,1,0,SF,TOR,64,3.2,205,1.9,124,1.5,99,0.4,28,0.2,10,41.1,25.5,59.1,44.3,10.1,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat Barber,2021,2022,1,0,PG,ATL,3,0.0,0,1.0,3,1.0,3,0.0,0,0.0,0,0.0,0.0,0.0,0.0,-11.2,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Barber,1956,1957,1,1,NA,ATL,5,1.4,7,1.2,6,0.0,0,0.0,0,0.0,0,25.0,0.0,50.0,0.0,4.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Barbosa,2003,2017,14,1,SG,PHO,850,10.6,9035,2.0,1720,2.1,1775,0.8,693,0.1,121,45.9,38.7,82.1,52.6,15.1,2.7,37.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Steve Bardo,1991,1996,3,1,SG,SAS,33,2.2,73,1.8,60,1.3,44,0.4,12,0.1,4,32.9,10.0,69.6,33.5,8.1,-0.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Barea,2006,2020,14,1,PG,DAL,831,8.9,7415,2.1,1748,3.9,3270,0.4,331,0.0,24,42.4,35.2,79.4,48.5,14.5,1.7,23.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andrea Bargnani,2006,2016,10,1,PF,TOR,550,14.3,7873,4.6,2541,1.2,653,0.4,207,0.9,470,43.9,35.4,82.4,48.6,14.4,1.9,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cliff Barker,1949,1952,3,1,SG,INO,149,3.7,557,1.8,181,2.0,294,0.0,0,0.0,0,31.6,0.0,66.2,0.0,10.8,0.7,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Barker,1976,1979,2,1,C,ATL,98,6.5,639,5.3,520,0.8,75,0.4,43,0.5,52,42.2,0.0,69.2,0.0,10.9,0.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Barkley,1984,2000,16,1,PF,PHI,1073,22.1,23757,11.7,12546,3.9,4215,1.5,1648,0.8,888,54.1,26.6,73.5,55.8,24.6,11.1,177.2,1,1,0,0,2006,11,0,1,0,0,0,0,11,1,0,0,0,0,1,0,1,0,1
Erick Barkley,2000,2002,2,1,PG,POR,27,2.9,77,0.8,21,1.5,40,0.7,19,0.0,1,35.6,26.7,90.0,37.8,9.9,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Barksdale,1951,1955,4,1,PF,BLB,262,11.0,2895,8.0,2088,2.1,549,0.0,0,0.0,0,37.0,0.0,66.0,0.0,15.6,2.3,9.1,1,0,0,1,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
