Player,Debut,Last Active,YOE,Retired,Position,Team,League,Total Games,Career PPG,Career RPG,Career APG,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Bobby Edmonds,1967,1970,2,1,SF,INA,ABA,75,7.7,5.0,0.4,43.4,16.7,65.1,43.5,12.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Edmonson,1982,1984,2,1,SG,ATL,NBA,87,6.0,1.5,0.6,44.8,0.0,71.9,44.8,12.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyus Edney,1995,2001,4,1,PG,SAC,NBA,226,7.6,1.7,4.0,40.5,32.2,80.6,42.8,13.6,6.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthony Edwards,2020,2022,2,0,SG,MIN,NBA,143,20.4,4.7,3.4,42.9,34.5,78.0,50.8,15.3,5.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bill Edwards,1993,1994,1,1,PF,PHI,NBA,3,2.0,4.7,1.3,11.1,0.0,40.0,11.1,-0.4,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Edwards,1989,1999,10,1,SF,UTA,NBA,704,10.8,3.4,2.0,47.5,33.5,77.9,49.9,12.8,24.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carsen Edwards,2019,2022,3,0,SG,BOS,NBA,71,3.7,1.1,0.7,36.9,30.0,75.8,45.6,8.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corsley Edwards,2004,2005,1,1,C,NOP,NBA,10,2.7,2.5,0.3,32.3,-,58.3,32.3,8.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug Edwards,1993,1996,3,1,PF,ATL,NBA,85,2.4,1.8,0.7,37.8,0.0,70.9,37.8,8.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin Edwards,1981,1988,7,1,PG,PHI,NBA,296,6.1,1.0,2.6,44.9,3.0,79.5,44.9,12.6,3.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
James Edwards,1977,1996,19,1,C,PHO,NBA,1168,12.7,5.1,1.3,49.5,4.8,69.8,49.5,14.7,59.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Jay Edwards,1989,1990,1,1,SG,LAC,NBA,4,1.8,0.5,1.0,42.9,0.0,33.3,42.9,7.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Edwards,2004,2006,2,1,C,IND,NBA,65,1.5,1.0,0.1,44.7,-,60.0,44.7,6.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kessler Edwards,2021,2022,1,0,SF,BRK,NBA,47,5.8,3.6,0.7,40.8,35.6,82.4,50.0,8.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Edwards,1988,2001,11,1,SG,MIA,NBA,604,10.9,2.7,2.7,42.3,33.5,80.3,43.7,12.7,12.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rob Edwards,2021,2022,1,0,SG,OKC,NBA,2,1.5,1.5,0.0,25.0,25.0,-,37.5,-0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Edwards,2013,2014,1,1,SF,CLE,NBA,2,1.0,1.0,0.0,33.3,-,-,33.3,-1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vince Edwards,2018,2019,1,0,SF,HOU,NBA,2,1.5,1.0,0.0,25.0,25.0,-,37.5,3.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Egan,1961,1972,11,1,PG,DET,NBA,712,7.8,1.8,3.0,42.9,0,80.5,0,12.2,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonnie Eggleston,1948,1949,1,1,NA,STB,BAA,2,2.0,-,0.5,25.0,0,66.7,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulbs Ehlers,1947,1949,2,1,NA,BOS,BAA,99,8.1,-,1.8,28.6,0,61.8,0,-,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Ehlo,1983,1997,14,1,SG,CLE,NBA,873,8.6,3.6,2.8,45.3,36.9,68.9,50.0,13.4,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
